cycle,pc,type,paddr,coreid,inst
0,001008c78,Read Request,007591410,0,3532602762001
0,000000000,Eviction (writable),37aecd400,1,3532602761916
0,ffffffff78d3fd04,Read Request,37ae83f50,0,3532602762001
0,000000000,Eviction (writable),354a83f40,1,3532602761954
0,ffffffff78d3fd18,Read Request,37ae83f80,0,3532602762001
0,000000000,Eviction (dirty),3c55b3f80,1,3532602761959
0,001008c78,Read Request,0075930c0,0,3532602762001
0,000000000,Eviction (writable),354b470c0,1,3532602761985
0,ffffffff78d3fcfc,Read Request,3591c6780,0,3532602762001
0,000000000,Eviction (writable),02ed56780,2,3532602761961
0,00133f764,Fetch Request,007f3f764,0,3532602762001
0,000000000,Eviction (clean),007e97740,4,3532602761902
0,00133f784,Fetch Request,007f3f784,0,3532602762001
0,000000000,Eviction (clean),007e97780,4,3532602761909
0,001326328,Fetch Request,007f26328,0,3532602762001
0,000000000,Eviction (clean),007eee300,4,3532602761915
0,001001504,Write Request,3e3c929a0,0,3532602762001
0,000000000,Eviction (dirty),3e2746980,4,3532602761923
0,001001540,Fetch Request,007c01540,0,3532602762001
0,000000000,Eviction (clean),007d31540,4,3532602761938
0,00104afe4,Write Request,0309c9d10,0,3532602762001
0,000000000,Eviction (writable),0ccac1d00,4,3532602761951
0,001326200,Fetch Request,007f26200,0,3532602762001
0,000000000,Eviction (clean),007f22200,4,3532602761966
0,00133f7c4,Fetch Request,007f3f7c4,0,3532602762001
0,000000000,Eviction (clean),007e977c0,4,3532602761980
0,00133f7f4,Read Request,0309f6278,0,3532602762001
0,000000000,Eviction (writable),181522240,4,3532602761984
0,00133f858,Fetch Request,007f3f858,0,3532602762001
0,000000000,Eviction (clean),3c2207840,4,3532602761988
0,001008c78,Read Request,0075d3250,0,3532602762001
0,000000000,Eviction (writable),39359b240,6,3532602761912
0,ffffffff78d3fd04,Read Request,36e24b9c0,0,3532602762001
0,000000000,Eviction (writable),0075ef9c0,6,3532602761950
0,ffffffff78d3fd1c,Read Request,36e252e58,0,3532602762001
0,000000000,Eviction (writable),39359ae40,6,3532602761956
0,ffffffff78a71efc,Read Request,383ec8e74,0,3532602762001
0,000000000,Eviction (dirty),3c6c9ce40,7,3532602761936
0,ffffffff78a71f10,Read Request,383ef5fc0,0,3532602762001
0,000000000,Eviction (writable),376ea5fc0,7,3532602761941
0,ffffffff78a71e40,Read Request,3be90b258,0,3532602762001
0,000000000,Eviction (clean),376c83240,7,3532602761979
0,ffffffff789d49fc,Write Request,3c6c9ce60,0,3532602762001
0,000000000,Eviction (writable),397f04e40,7,3532602761991
0,ffffffff78a71e40,Read Request,395607160,0,3532602762001
0,000000000,Eviction (writable),36fa17140,9,3532602761908
0,0012dffac,Fetch Request,007edffac,0,3532602762001
0,000000000,Eviction (clean),3c091ff80,11,3532602761924
0,001008aac,Read Request,009161c00,0,3532602762001
0,000000000,Eviction (clean),3c20c1c00,11,3532602761946
0,0012dffb4,Read Request,049ce0650,0,3532602762001
0,000000000,Eviction (dirty),3c5fe4640,11,3532602761953
